metric_id,level,priority,requires_identity,metric_name,reference,doi,supporting_references
GL-6,group,primary,false,Group Cohesion,"Krause & Ruxton 2002, Living in Groups (Oxford University Press)",10.1093/oso/9780198508175.001.0001,"Delcourt & Poncin 2012, Rev. Fish Biol. Fish. 22(3):595-619 (shoals and schools: back to the heuristic definitions and quantitative references) (DOI: 10.1007/s11160-012-9260-z)"
GL-7,group,primary,false,NN-Matched Speed,"Bernardin & Stiefelhagen 2008, EURASIP J. Image Video Process. 2008:246309 (evaluating multiple object tracking performance: the CLEAR MOT metrics)",10.1155/2008/246309,
GL-8,group,optional,true,Rotational Order,"Couzin et al. 2002, J. Theor. Biol. 218(1):1-11 (collective memory and spatial sorting in animal groups)",10.1006/jtbi.2002.3065,"Tunstrom et al. 2013, PLoS Comput. Biol. 9(2):e1002915 (collective states, multistability and transitional behavior in schooling fish) (DOI: 10.1371/journal.pcbi.1002915)"
GL-9,group,primary,false,Group Centroid Position,Standard kinematics (arithmetic mean position); no single originating work,,
GL-10,group,primary,false,Group Spread,Standard spatial-dispersion measure; complements GL-4 (convex-hull area). No single originating work,,"Clark & Evans 1954, Ecology 35(4):445-453 (distance to nearest neighbor as a measure of spatial relationships in populations) (DOI: 10.2307/1931034)"
GL-11,group,primary,true,Order-State Classification,"Tunstrom et al. 2013, PLoS Comput. Biol. 9(2):e1002915 (collective states, multistability and transitional behavior in schooling fish)",10.1371/journal.pcbi.1002915,"Couzin et al. 2002, J. Theor. Biol. 218(1):1-11 (collective memory and spatial sorting in animal groups) (DOI: 10.1006/jtbi.2002.3065); Vicsek et al. 1995, Phys. Rev. Lett. 75(6):1226-1229 (novel type of phase transition in a system of self-driven particles -- origin of the polar order parameter) (DOI: 10.1103/PhysRevLett.75.1226)"
GL-13,group,optional,false,Topological k-NN Counts,"Ballerini et al. 2008, Proc. Natl. Acad. Sci. 105(4):1232-1237 (interaction ruling animal collective behavior depends on topological rather than metric distance)",10.1073/pnas.0711437105,"Clark & Evans 1954, Ecology 35(4):445-453 (distance to nearest neighbor as a measure of spatial relationships in populations) (DOI: 10.2307/1931034)"
GL-15,group,optional,false,Group Elongation / Anisotropy,"Tunstrom et al. 2013, PLoS Comput. Biol. 9(2):e1002915 (collective states, multistability and transitional behavior in schooling fish)",10.1371/journal.pcbi.1002915,"Mohr 1947, Am. Midl. Nat. 37(1):223-249 (table of equivalent populations of North American small mammals -- origin of the minimum convex polygon) (DOI: 10.2307/2421652)"
IL-1,individual,primary,true,Distance Travelled,Standard kinematics,,"Martin & Bateson 2007, Measuring Behaviour: An Introductory Guide, 3rd ed. (Cambridge University Press) (DOI: 10.1017/CBO9780511810893)"
IL-2,individual,primary,true,Speed (mean / median / max),Standard kinematics,,"Bjorneraas et al. 2010, J. Wildl. Manage. 74(6):1361-1366 (screening GPS location data for errors using animal movement characteristics) (DOI: 10.2193/2009-405)"
IL-3,individual,primary,true,Distance from Arena Centre,"Schnorr et al. 2012, Behav. Brain Res. 228(2):367-374 (thigmotaxis in larval zebrafish)",10.1016/j.bbr.2011.12.016,"Simon et al. 1994, Behav. Brain Res. 61(1):59-64 (thigmotaxis as an index of anxiety in mice) (DOI: 10.1016/0166-4328(94)90008-6); Hall 1934, J. Comp. Psychol. 18(3):385-403 (emotional behavior in the rat: I. Defecation and urination as measures of individual differences in emotionality) (DOI: 10.1037/h0071444)"
IL-4,individual,primary,true,Activity / Freezing Fraction,"Cachat et al. 2010, Nat. Protoc. 5(11):1786-1799 (measuring behavioral and endocrine responses to novelty stress in adult zebrafish)",10.1038/nprot.2010.140,"Stewart et al. 2012, Neuropharmacology 62(1):135-143 (modeling anxiety using adult zebrafish: a conceptual review -- no operational threshold given) (DOI: 10.1016/j.neuropharm.2011.07.037); Kalueff et al. 2013, Zebrafish 10(1):70-86 (towards a comprehensive catalog of zebrafish behavior 1.0 and beyond) (DOI: 10.1089/zeb.2012.0861); Egan et al. 2009, Behav. Brain Res. 205(1):38-44 (understanding behavioral and physiological phenotypes of stress and anxiety in zebrafish) (DOI: 10.1016/j.bbr.2009.06.022)"
IL-5,individual,primary,true,Tortuosity,"Benhamou 2004, J. Theor. Biol. 229(2):209-220 (how to reliably estimate path tortuosity)",10.1016/j.jtbi.2004.03.016,"Kareiva & Shigesada 1983, Oecologia 56(2-3):234-238 (analyzing insect movement as a correlated random walk) (DOI: 10.1007/BF00379695); Benhamou 2013, Ecol. Lett. 17(3):261-272 (of scales and stationarity in animal movements) (DOI: 10.1111/ele.12225)"
IL-6,individual,primary,true,Acceleration (mean abs / RMS / max),Standard kinematics,,
IL-7,individual,optional,true,Freezing-Bout Count & Duration,"Cachat et al. 2010, Nat. Protoc. 5(11):1786-1799 (measuring behavioral and endocrine responses to novelty stress in adult zebrafish)",10.1038/nprot.2010.140,"Sibly et al. 1990, Anim. Behav. 39(1):63-69 (splitting behaviour into bouts) (DOI: 10.1016/S0003-3472(05)80726-2)"
IL-8,individual,advanced,true,Turn Rate (Heading Change),"Kareiva & Shigesada 1983, Oecologia 56(2-3):234-238 (analyzing insect movement as a correlated random walk)",10.1007/BF00379695,"Mwaffo et al. 2015, J. R. Soc. Interface 12(102):20140884 (a jump persistent turning walker to model zebrafish locomotion) (DOI: 10.1098/rsif.2014.0884); Marques et al. 2018, Curr. Biol. 28(2):181-195 (structure of the zebrafish locomotor repertoire revealed with unsupervised behavioral clustering; bouts segmented from tail shape at ~700 fps -- not applicable to centroid-only tracking) (DOI: 10.1016/j.cub.2017.12.002)"
IL-9,individual,primary,true,Home-Base Occupancy,"Eilam & Golani 1989, Behav. Brain Res. 34(3):199-211 (home base behavior of rats exploring a novel environment)",10.1016/S0166-4328(89)80102-0,"Freund et al. 2013, Science 340(6133):756-759 (emergence of individuality in genetically identical mice) (DOI: 10.1126/science.1235294)"
IL-10,individual,primary,true,Roaming Entropy,"Freund et al. 2013, Science 340(6133):756-759 (emergence of individuality in genetically identical mice)",10.1126/science.1235294,"Eilam & Golani 1989, Behav. Brain Res. 34(3):199-211 (home base behavior of rats exploring a novel environment) (DOI: 10.1016/S0166-4328(89)80102-0)"
IL-11,individual,advanced,true,Circular Statistics of Heading,"Berens 2009, J. Stat. Softw. 31(10):1-21 (CircStat: a MATLAB toolbox for circular statistics)",10.18637/jss.v031.i10,"Kareiva & Shigesada 1983, Oecologia 56(2-3):234-238 (analyzing insect movement as a correlated random walk) (DOI: 10.1007/BF00379695)"
IL-14,individual,primary,true,Wall-Distance Thigmotaxis,"Simon et al. 1994, Behav. Brain Res. 61(1):59-64 (thigmotaxis as an index of anxiety in mice)",10.1016/0166-4328(94)90008-6,"Schnorr et al. 2012, Behav. Brain Res. 228(2):367-374 (thigmotaxis in larval zebrafish) (DOI: 10.1016/j.bbr.2011.12.016); Maximino et al. 2010, Behav. Brain Res. 214(2):157-171 (measuring anxiety in zebrafish: a critical review) (DOI: 10.1016/j.bbr.2010.05.031)"
Z-1,zone,primary,false,Time in zone,"Walsh & Cummins 1976, Psychol. Bull. 83(3):482-504 (the open-field test: a critical review)",10.1037/0033-2909.83.3.482,"Hall 1934, J. Comp. Psychol. 18(3):385-403 (emotional behavior in the rat: I. Defecation and urination as measures of individual differences in emotionality) (DOI: 10.1037/h0071444)"
Z-2,zone,primary,false,Area-Corrected Occupancy,"Area-normalised occupancy (observed time in a zone relative to that zone's share of the arena), the standard correction for comparing unequal-area regions of interest. No single originating work",,"Jacobs 1974, Oecologia 14(4):413-417 (quantitative measurement of food selection -- origin of the bias-corrected D electivity index) (DOI: 10.1007/BF00384581); Krause & Ruxton 2002, Living in Groups (Oxford University Press) (DOI: 10.1093/oso/9780198508175.001.0001)"
Z-3,zone,primary,false,Zone visit count,"Martin & Bateson 2007, Measuring Behaviour: An Introductory Guide, 3rd ed. (Cambridge University Press)",10.1017/CBO9780511810893,"Bakeman & Gottman 1997, Observing Interaction: An Introduction to Sequential Analysis, 2nd ed. (Cambridge University Press) (DOI: 10.1017/CBO9780511527685); Sibly et al. 1990, Anim. Behav. 39(1):63-69 (splitting behaviour into bouts) (DOI: 10.1016/S0003-3472(05)80726-2)"
Z-4,zone,primary,false,Zone Transitions,"Bakeman & Gottman 1997, Observing Interaction: An Introduction to Sequential Analysis, 2nd ed. (Cambridge University Press)",10.1017/CBO9780511527685,"Martin & Bateson 2007, Measuring Behaviour: An Introductory Guide, 3rd ed. (Cambridge University Press) (DOI: 10.1017/CBO9780511810893); Sibly et al. 1990, Anim. Behav. 39(1):63-69 (splitting behaviour into bouts) (DOI: 10.1016/S0003-3472(05)80726-2)"
Z-5,zone,optional,false,Zone Entry/Exit Events,"Martin & Bateson 2007, Measuring Behaviour: An Introductory Guide, 3rd ed. (Cambridge University Press)",10.1017/CBO9780511810893,"Sibly et al. 1990, Anim. Behav. 39(1):63-69 (splitting behaviour into bouts) (DOI: 10.1016/S0003-3472(05)80726-2)"
Z-6,zone,optional,false,Latency to First Entry,"Bourin & Hascoet 2003, Eur. J. Pharmacol. 463(1-3):55-65 (the mouse light/dark box test)",10.1016/S0014-2999(03)01274-3,"Martin & Bateson 2007, Measuring Behaviour: An Introductory Guide, 3rd ed. (Cambridge University Press) (DOI: 10.1017/CBO9780511810893)"
Z-7,zone,primary,false,Zone Transition Matrix & Sequence Entropy,"Bakeman & Gottman 1997, Observing Interaction: An Introduction to Sequential Analysis, 2nd ed. (Cambridge University Press)",10.1017/CBO9780511527685,"Martin & Bateson 2007, Measuring Behaviour: An Introductory Guide, 3rd ed. (Cambridge University Press) (DOI: 10.1017/CBO9780511810893)"
Z-8,zone,primary,false,Zone Preference Index (Jacobs' D),"Jacobs 1974, Oecologia 14(4):413-417 (quantitative measurement of food selection -- origin of the bias-corrected D electivity index)",10.1007/BF00384581,"Krause & Ruxton 2002, Living in Groups (Oxford University Press) (DOI: 10.1093/oso/9780198508175.001.0001)"
Z-9,zone,optional,false,Zone Dwell-Time Distribution,"Sibly et al. 1990, Anim. Behav. 39(1):63-69 (splitting behaviour into bouts)",10.1016/S0003-3472(05)80726-2,"Bourin & Hascoet 2003, Eur. J. Pharmacol. 463(1-3):55-65 (the mouse light/dark box test) (DOI: 10.1016/S0014-2999(03)01274-3)"
